GBM,Marker,Allele_1,Allele_2,Allele_3,Allele_4
sample_name,Amel,,,,
sample_name,CSF1PO,,,,
sample_name,D10S1248,,,,
sample_name,D12S391,,,,
sample_name,D13s317,,,,
sample_name,D16s539,,,,
sample_name,D18s51,,,,
sample_name,D19S433,,,,
sample_name,D1S1656,,,,
sample_name,D21s11,,,,
sample_name,D22S1045,,,,
sample_name,D2S1338,,,,
sample_name,D2S441,,,,
sample_name,D3s1358,,,,
sample_name,D5s818,,,,
sample_name,D7s820,,,,
sample_name,D8s1179,,,,
sample_name,DYS391,,,,
sample_name,FGA,,,,
sample_name,Penta.D,,,,
sample_name,Penta.E,,,,
sample_name,TH01,,,,
sample_name,TPOX,,,,
sample_name,vWA,,,,
