"GBM","Amel","CSF1PO","D10S1248","D12S391","D13s317","D16s539","D18s51","D19S433","D1S1656","D21s11","D22S1045","D2S1338","D2S441","D3s1358","D5s818","D7s820","D8s1179","DYS391","FGA","Penta D","Penta E","TH01","TPOX","vWA"
"JX39","X","11,13","13","18","10,12","11,13","16,18","14","11,16","28,31","16","17,25","11","18","12","10","13,14",NA,"20,21","11,13","7","6,9.3","8,11","15,16"
"JX14","X,Y","11,12","13","18,23","11","11,13","12,14","13,14","17.3","27,29","16","19,23","11,12","16,17","10,11","8,11","15","11","21","9,11","10","9,9.3","8","17"
"JX12","X,Y","12","14,15","21.3,24","9,11","9","12,15","13","11","28","14,16","24,25","11,14","15,18","10,12","10,12","13","11","24,24.2","10,12","5,11","7,9","8","16,18"
"JX6","X,Y","9,12",NA,NA,"11",NA,"14,15",NA,NA,NA,NA,NA,NA,"15,16","12,13","8","10,12",NA,"20,22",NA,NA,"6,8","8","15,19"
"JX59","X","9,10","13","18,23","11","11,14","13,17","13","17.3,18.3","28,29","16","18,24","11.3","17","10,12","10","15",NA,"22,26","9,13","5,12","6,9.3","8,11","14,15"
"JX10","X,Y","11",NA,NA,"11",NA,"12,15",NA,NA,NA,NA,NA,NA,"16,17","12","10,11","13,14",NA,"19,22",NA,NA,"9,9.3","8,11","16,19"
"JX22","X,Y","10,14","14","19","11","11,12","18,21","13","11,15","28","15","17,20","11","19","11,12","9,10","14,15",NA,"23,24","13","11,13","9.3","8,10","17"
"X1016","X,Y","10,12","14","17.3,19,21,24","11","9,11,14","8,12,13,15","5.2,15,18.2","17.1,17.3","31,33.2","15","17,23,24","10,11","14,17,18","11,12","10,13","10,13","7,10","21","13,17","11,12","6,7","8,11","16"
"X1052","X","12,13","13","23","8,13","9,10.3","12,13","13,14.2","16.3,17.3","31.2,32.2","11,16","17,23","11,12","17,18","11,12","10,12","13,14",NA,"21,22","11,13","7,10","8","8,12","15,20"
"X1066","X","9,10","13","17","14","12","14","14,15","12,15","29","15,16","24,25","10,14","16","11,12","8,12","14",NA,"23,24","9,10","12,16","17,19","11","14,16"
"X1153","X","10","15","21,25","11,12","8,9","12,17","13","16","29,30","11,15","19,24","11.3,15","16,17","12","8,11","12,15",NA,"20","13","11,12","7,9.3","8,11","15,16"
"X1238","X","11","14,15","17","9","12","14,15","13,14","16.3,17.3","28,30.2","15",NA,"14","17","11,13","11","11,13",NA,"19,21",NA,"16",NA,"8","14,18"
"X1441","X,Y","10,12","13","19,19.3","12,14","9,11","12,13","14,16","13,15.3","30,33.2","11","25","14","16,18","11,13","10","13","10","23,24","9,14","10,11","7","11","17,18,19"
"X1465","X","10,11","16","19,24","11,12","9,13","13,16","12,14","11","29,30","16","23,25","11,14","15","11,13","10","10,13",NA,"22,24","11,12","7,12","9","8,9","16,17"
"X1516","X","11,12","13","17,18","13,14","9,12","14,15,16","13,14","11,14","29,30","15","17,20","10,11","15","11","8,11","10,12,13",NA,"20,21","12,13","9,10,12,13","7","11","18,19,20"
"X1524","X","11","16","22,23","8,13","10,12","14,16","15","15.3,17","29,30","14,17","19,25","14","16,18","10,12","9,10","12,13",NA,"23,24","5,12","7,11","9,9.3","8,11","17"
"XD456","X","12,13","11,12,15","18,23,24,27","9,13","13,14","15,18","13","14,15.3,16.3","31,31.2","14,15,16","23,24,26","10,11,12","17,18,19,20","10,11,12","9,10","10,11",NA,"18,22,24","9,11","18,19","7","8,11","17,18"
